epoch,AP@0.5 (B),AP@0.5:0.95 (B)
1,0.0,0.0
2,0.45773,0.14793
3,0.54245,0.18262
4,0.88843,0.39742
5,0.63358,0.32938
6,0.93994,0.38522
7,0.96311,0.60765
8,0.92426,0.60687
9,0.99375,0.7445
10,0.99023,0.70605
11,0.99429,0.74467
12,0.99425,0.77452
13,0.99421,0.79635
14,0.96947,0.72576
15,0.99495,0.79243
16,0.99499,0.82874
17,0.9943,0.80678
18,0.97974,0.78607
19,0.99491,0.84008
20,0.995,0.83555
21,0.99498,0.82261
22,0.99489,0.80706
23,0.995,0.84795
24,0.99498,0.8399
25,0.99485,0.85462
26,0.995,0.83421
27,0.995,0.84228
28,0.995,0.87299
29,0.995,0.8677
30,0.995,0.85359
31,0.995,0.87636
32,0.99424,0.84646
33,0.995,0.8607
34,0.99498,0.85652
35,0.995,0.87578
36,0.99497,0.87909
37,0.99498,0.85814
38,0.995,0.86013
39,0.995,0.88827
40,0.995,0.88053
41,0.995,0.86298
42,0.9946,0.88606
43,0.995,0.87978
44,0.995,0.89314
45,0.97073,0.74698
46,0.995,0.8743
47,0.995,0.88589
48,0.99486,0.85775
49,0.99499,0.86706
50,0.995,0.8693
51,0.99498,0.87696
52,0.995,0.87495
53,0.995,0.88226
54,0.98971,0.82082
55,0.995,0.90906
56,0.995,0.89754
57,0.995,0.9066
58,0.9925,0.82306
59,0.995,0.89061
60,0.99498,0.88349
61,0.995,0.89561
62,0.995,0.88637
63,0.995,0.8759
64,0.995,0.89928
65,0.995,0.90273
66,0.995,0.88806
67,0.995,0.90669
68,0.995,0.90582
69,0.995,0.88971
70,0.995,0.90454
71,0.99499,0.90946
72,0.995,0.90543
73,0.995,0.90453
74,0.99396,0.87414
75,0.995,0.9125
76,0.995,0.89567
77,0.995,0.90544
78,0.995,0.91442
79,0.995,0.90964
80,0.995,0.91812
81,0.995,0.90651
82,0.995,0.91669
83,0.995,0.91201
84,0.995,0.90497
85,0.995,0.90245
86,0.995,0.917
87,0.995,0.91532
88,0.995,0.91843
89,0.995,0.91955
90,0.995,0.92368
91,0.995,0.92376
92,0.995,0.92971
93,0.99483,0.86205
94,0.995,0.91989
95,0.995,0.91383
96,0.995,0.92223
97,0.99405,0.86011
98,0.995,0.9219
99,0.995,0.91709
100,0.99485,0.89491
101,0.995,0.92309
102,0.995,0.91986
103,0.995,0.92343
104,0.995,0.92769
105,0.995,0.91853
106,0.995,0.92206
107,0.995,0.92519
108,0.995,0.92625
109,0.995,0.92272
110,0.995,0.92911
111,0.995,0.9321
112,0.995,0.92839
113,0.995,0.92705
114,0.995,0.93061
115,0.995,0.93003
116,0.995,0.92339
117,0.995,0.93423
118,0.995,0.92624
119,0.995,0.93241
120,0.995,0.93082
121,0.995,0.93297
122,0.995,0.93126
123,0.995,0.92958
124,0.995,0.93381
125,0.995,0.92555
126,0.995,0.93567
127,0.995,0.94002
128,0.995,0.93378
129,0.995,0.93394
130,0.995,0.93573
131,0.995,0.93647
132,0.995,0.93912
133,0.995,0.9361
134,0.995,0.93659
135,0.995,0.93773
136,0.995,0.94055
137,0.995,0.93678
138,0.995,0.93649
139,0.995,0.93539
140,0.995,0.93947
141,0.995,0.94217
142,0.995,0.94162
143,0.995,0.93643
144,0.995,0.93253
145,0.995,0.93596
146,0.995,0.93512
147,0.995,0.93798
148,0.995,0.93632
149,0.995,0.93789
150,0.995,0.93852
151,0.995,0.94157
152,0.995,0.93966
153,0.995,0.93714
154,0.995,0.9431
155,0.995,0.94258
156,0.995,0.94204
157,0.995,0.94255
158,0.995,0.94263
159,0.995,0.94043
160,0.995,0.94397
161,0.995,0.9409
162,0.995,0.94197
163,0.995,0.94294
164,0.995,0.94367
165,0.995,0.94447
166,0.995,0.94124
167,0.995,0.94398
168,0.995,0.94785
169,0.995,0.94614
170,0.995,0.94365
171,0.995,0.94211
172,0.995,0.94614
173,0.995,0.94409
174,0.995,0.94782
175,0.995,0.94435
176,0.995,0.94401
177,0.995,0.94558
178,0.995,0.94525
179,0.995,0.94508
180,0.995,0.94462
181,0.995,0.94438
182,0.995,0.94556
183,0.995,0.94627
184,0.995,0.94734
185,0.995,0.94652
186,0.995,0.94792
187,0.995,0.94789
188,0.995,0.946
189,0.995,0.94741
190,0.995,0.94857
191,0.995,0.94805
192,0.995,0.94791
193,0.995,0.94814
194,0.995,0.94828
195,0.995,0.94935
196,0.995,0.94923
197,0.995,0.94895
198,0.995,0.94932
199,0.995,0.94944
200,0.995,0.94927
